CLUE,ANS,POS
Opportunity or luck ,chance,1
Absorbent cloth ,towel,10
"Spanish dish of rice, meat and seafood",paella,7
Good at speaking (a foreign language?),fluent,1
Capacity for rational thought ,reason,10
Footpath ,lane,6
Italian city with leaning tower ,pisa,3
Take a case to a higher court for review ,appeal,1
Angle in astronomy ,azimuth,1
Despotism ,tyranny,2
"Friendly, generous, considerate ",kind,8
Tubes for fluids ,pipes,1
Pose; point of view ,attitude,3
Poison ,toxin,14
Obligation,duty,2
