CLUE,ANS,POS
Clapping ,applause,1
Zodiac sign ,aquarius,11
Picture ,image,8
Ten years ,decade,1
Window in  a roof ,skylight,1
Island mostly north of the Arctic circle,greenland,1
Obscured or unclear ,veiled,18
Immeasurably bad ,abysmal,6
(Of snow) melt ,thaw,6
Loss of memory ,amnesia,1
Lewis Carroll''s frumious monster,bandersnatch,6
The Roman emperor said to have made his horse a consul,caligula,5
Food item made with bleached flour ,white bread,5
Travelling company of entertainers ,circus,1
Small African nocturnal primate with large eyes,bushbaby,7
Steak type ,t-bone,2
Baseless ,unfounded,2
Seat of a monarch ,throne,1
Italian poet ,dante,1
Member of police force ,officer,1
Lute-like instrument ,mandolin,5
Business room - position of responsibility or duty,office,2
