CLUE,ANS,POS,FOUND IN
"Like oxygen, neon, etc ",gaseous,18,Gaseous state
Booking (in restaurant) ,reservation,1,Table reservation
Prejudice ,bias,2,Bias:** Unfavorable or prejudicial attitude towards a person or group.
It follows from that fact ,hence,5,"Hence, the previous statement implies this."
Assassinated US president ,kennedy,20,John Kennedy
Ball game ,hockey,18,Street hockey
Swimming stroke ,crawl,7,Elementary crawl
Sacred beetle ,scarab,1,"Scarab** - A large, shiny beetle often associated with fertility and divinity in various cultures."
In favour of ,pro,15,Aproving
One employed to look after a golf course ,greenkeeper,1,"He went on to pursue a degree in Turfgrass Science and Management, later receiving his certification as a Master Greenkeeper"
