CLUE: Teases (informal) ||| ANS: ribs ||| POS: 4 
CLUE: Give thought to ||| ANS: consider ||| POS: 8 
CLUE: Put forward ||| ANS: suggest ||| POS: 2 
CLUE: Readily available ||| ANS: on tap ||| POS: 13 
CLUE: Magnitude - scope ||| ANS: extent ||| POS: 2 
CLUE: Subtlety in handling difficult situations ||| ANS: finesse ||| POS: 12 
CLUE: Put up with ||| ANS: tolerate ||| POS: 2 
CLUE: Greenish-blue colour ||| ANS: cyan ||| POS: 4 
CLUE: Started ||| ANS: began ||| POS: 3 
CLUE: Legally binding decision ||| ANS: decree ||| POS: 1 
CLUE: Fish providing isinglass ||| ANS: sturgeon ||| POS: 1 
CLUE: Nobleman ||| ANS: baron ||| POS: 1 
CLUE: Incite to action ||| ANS: provoke ||| POS: 5 
CLUE: Eventually ||| ANS: in the long run ||| POS: 11 
CLUE: Sign of the zodiac ||| ANS: cancer ||| POS: 3 
CLUE: Crimson ||| ANS: scarlet ||| POS: 11 
CLUE: Walk through water ||| ANS: wade ||| POS: 1 
CLUE: Used up ||| ANS: depleted ||| POS: 1 
CLUE: Flows back ||| ANS: ebbs ||| POS: 1 
CLUE: Foliage ||| ANS: greenery ||| POS: 3 
CLUE: String player ||| ANS: cellist ||| POS: 2 
CLUE: Beet with edible white leaf stalks ||| ANS: chard ||| POS: 1 
CLUE: Male horse kept for breeding ||| ANS: stud ||| POS: 2 
CLUE: Resemblance ||| ANS: similarity ||| POS: 1 
CLUE: Faint-hearted ||| ANS: timid ||| POS: 1 
CLUE: Tyrannical ruler ||| ANS: dictator ||| POS: 1 
CLUE: Affable ||| ANS: genial ||| POS: 6 
CLUE: Sausage in a bun ||| ANS: hot dog ||| POS: 1 
CLUE: Navy, army or air force unit ||| ANS: squadron ||| POS: 4 
CLUE: Not fake news! ||| ANS: fact ||| POS: 12 
CLUE: Titular university head ||| ANS: chancellor ||| POS: 1 
CLUE: Enticed ||| ANS: tempted ||| POS: 3 
CLUE: Stringed instrument, usually played with a plectrum ||| ANS: mandolin ||| POS: 3 
CLUE: Provide with materials for life and growth ||| ANS: nourish ||| POS: 3 
CLUE: Britain's only venomous snake ||| ANS: adder ||| POS: 1 
CLUE: Reduce the population by selective slaughter ||| ANS: cull ||| POS: 1 
CLUE: Take issue ||| ANS: disagree ||| POS: 1 
CLUE: Pleased ||| ANS: glad ||| POS: 12 
CLUE: Practicality - public service ||| ANS: utility ||| POS: 1 
CLUE: Inclined ||| ANS: sloping ||| POS: 1 
CLUE: Optimism ||| ANS: hope ||| POS: 1 
CLUE: Surpass ||| ANS: excel ||| POS: 12 
