CLUE,ANS,POS
Facet ,aspect,1
Energy units ,calories,1
Egyptian canal ,suez,1
Leave out ,omit,2
Fortified wine ,port,1
Turkish commander ,agha,7
Zodiac sign ,taurus,2
Baltic state ,estonia,3
"Harmony, concurrence",accord,3
Long tales of heroic deeds,epics,1
Cos lettuce ,romaine,1
Religious violation ,sacrilege,6
Be present at ,attend,1
Hair cleaners ,shampoos,1
Loose rocks at the base of a cliff ,scree,3
Manage somehow,make do,2
"Lady Macbeth: ''Out, damned . . . .!'' ",spot,1
Domesticated birds,geese,4
South West Africa,namibia,1
Tension ,stress,1
