CLUE,ANS,POS
"Prospect, view",vista,3
Social insect ,ant,1
"Courting, romancing ",wooing,1
Male relation ,uncle,6
Not damaged in any way,intact,6
Wartime safety device ,gas mask,1
Small bird; architect ,wren,5
Forgive ,excuse,2
Antelope,impala,6
Gift; here ,present,1
Shelter (for ships),haven,7
Large African mammal,hippopotamus,4
Become more rigid,stiffen,2
Ball game ,tennis,5
Face,visage,3
Church caretaker ,verger,3
Large deer ,caribou,5
Concave - sunken ,hollow,3
Gourd fruit ,melon,1
