CLUE,ANS,POS
"Reassurance, cheer ",encouragement,4
"Thyme, for example",herb,1
"Cunning, deceit ",guile,5
Principal actor in a film ,star,2
Lubricating pump ,grease gun,2
Soon: in an abbreviated manner,shortly,1
Infuriating ,exasperating,3
Cultivated grass,lawn,1
Peak,apex,2
Distinct and discrete ,separate,1
"Curt, terse ",laconic,7
Rod used for punishment ,cane,3
A Christmas tree,holly,5
Unit of data ,byte,1
Small whirlpools ,eddies,2
Ten year period ,decade,1
Arrive at ,reach,2
