CLUE,ANS,POS,FOUND IN
Energy units ,calories,2,Calories (cal)
Egyptian canal ,suez,1,"Suez Canal: This is the most famous and well-known canal in Egypt, connecting the Mediterranean Sea to the Red Sea."
Zodiac sign ,taurus,2,**Taurus** (April 20 - May 20)
Put into words ,phrase,17,Coalesced into a phrase
Baltic state ,estonia,1,It's the largest of the three Baltic states (the others being Estonia and Lithuania) and has a population of around 1.9 million people.
"Glaswegians, Aberdonians etc ",scots,6,"Jocks/Jessies - a colloquial term for Scots, often used in a derogatory manner"
Mime on tap in children's show ,pantomime,8,Pantomime Pete
Chinese dynasty -- Flash Gordon's foe ,ming,2,Ming (Chinese dynasty)
Computer program loading method ,bootstrap,1,Bootstrapping
Bring up or stand up on hind legs ,rear,11,Rear up
