CLUE,ANS,POS
Irish lakes or arms of the sea ,loughs,1
"Put to death or carry out, say plan ",execute,1
Small peach-like fruit ,apricot,1
Severe flood ,deluge,3
Thick liquid that doesn't dissolve in water ,oil,1
Greek epic wanderings of Ulysses ,odyssey,1
Rare ,uncommon,1
Sanskrit treatise on the art of love,kama sutra,1
Flat raised land ,plateau,3
Burial chamber ,tomb,1
"Wheedle, coax ",cajole,2
Gun ,firearm,1
Rebirth in a new body ,reincarnation,14
Bring back into good condition ,rehabilitate,17
