CLUE,ANS,POS
Pay no attention to ,ignore,1
Unsurprising,predictable,1
Greater in size ,larger,1
Unit of length ,inch,3
Dentures ,false teeth,1
Reasonable ,logical,3
Italian city,florence,1
Worshipped and venerated ,adored,1
Member of orchestra,cellist,2
Grown-ups ,adults,1
To do with sense of touch ,tactile,1
Leaf vegetable,spinach,2
Large cat ,lion,1
Supporter of hereditary rule ,monarchist,2
Underwear ,lingerie,2
Disgusting ,repulsive,1
Devout,pious,7
They hold positions of authority or command ,officers,6
Deceptive trick ,hoax,1
Bird of prey ,falcon,1
Hairy,hirsute,6
Car parking control system ,pay and display,8
Saves ,rescues,3
Small ,little,12
Bribe paid by seller to purchasing agent ,kickback,1
