CLUE,ANS,POS
Food for queen and larvae ,royal jelly,3
Keep back ,withhold,16
Highly skilled musician ,virtuoso,1
Long heroic story ,saga,2
Betrayal of a trust ,treachery,11
Descend vertical slope using rope ,abseil,2
"Hard to pin down, slippery ",elusive,2
Pulled along roughly ,dragged,3
Remove hair (which could be narrow) ,shave,3
First ,initial,1
Patron or backer ,sponsor,1
Solid - business ,firm,2
Cavalry sword ,sabre,2
Knee-cap ,patella,1
Prophet ,oracle,2
Official ban on trade ,embargo,1
Cry like a wolf,howl,1
Wide area ,expanse,4
Chess piece ,knight,3
Xylophone-like instr. ,marimba,3
A one-storey dwelling house ,bungalow,2
Eye inflammation ,iritis,9
Doctor Who's machine ,tardis,1
