CLUE,ANS,POS
Professional misconduct,malpractice,2
Ancient two-handled jar ,amphora,1
Complain like goldfish ,carp,5
Singer ,soprano,12
State of being held prisoner ,captivity,1
Weaken (one) with hunger ,famish,2
Brilliant - dazzling,scintillating,9
Appraise ,assess,1
Underneath ,below,2
Singing Dame of WWII ,vera lynn,1
Appear to be ,seem,2
Dessert ,pudding,8
Group of things that belong together ,set,1
More ill ,sicker,2
Anticipate ,foresee,2
World War I battlefield,ypres,13
Idle wanderer ,vagabond,1
Small leaflet ,pamphlet,5
Afflication ,malady,4
Gesture expressing unconcern,shrug,1
Mistake ,error,1
Type of camel - cabin rat (anag),bactrian,2
Belgian city,antwerp,2
Sports or entertainment venue ,arena,2
Link to open valve in internal combustion engine ,pushrod,7
