CLUE,ANS,POS,FOUND IN
"Ciao, Pat, have some strange pudding ",tapioca,11,Tapioca pudding
Muslim law ,sharia,1,"The legal system in Islam is known as Shariah, which means ""path"" or ""way"" in Arabic"
Meet expectations ,satisfy,5,Satisfy criteria
"Superior, of the highest quality ",excellent,20,Excellent (in the highest sense)
Branch of maths ,geometry,3,"Geometry: The study of shapes, sizes, positions, and dimensions of objects, and the relationships between them."
Asking God to look favourably on ,blessing,3,Requesting God's blessings
Individual fact or feature ,detail,4,"Sophia Patel's background in cryptology has honed her attention to detail, enabling her to pick up on subtle variations in word usage and grammar that might escape less experienced solvers."
Wreckage on sea ,flotsam,7,Flotsam (unintentional) or jetsam (intentional)
Country of King Zog ,albania,1,Albania (Zog I of Albania was the king of Albania from 1928 to 1939)
"Staple food is too apt, strangely ",potato,3,Potatoes
