CLUE,ANS,POS
A vote against ,nay,1
"Be present at, turn up for ",attend,1
Lacking in restraint ,uninhibited,10
Motor fuel ,diesel,3
"Complete, absolute ",total,2
Return to earlier state ,revert,3
West African country ,mali,5
Major Asian river ,indus,5
Musical instrument like a small guitar ,mandolin,2
Branch of mathematics ,algebra,1
Underground passage ,tunnel,1
Speaker ,orator,1
Devilment or roguishness ,mischief,1
"Adversary, antagonist ",opponent,2
Regular habit ,ritual,4
"Notions, thoughts ",ideas,1
Largest city in New Mexico ,albuquerque,1
Bird expert ,ornithologist,1
Group of families,tribe,2
Low cut ,decollete,6
Save ,rescue,15
One receiving medical care ,patient,1
"Handle, run ",manage,2
