CLUE,ANS,POS
Mathematical array ,matrix,1
Charge with crime ,indict,8
Style of hat ,fedora,1
Evil-smelling animal of N America ,skunk,1
Money bag ,purse,2
Cold dish ,salad,1
Smuggled goods,contraband,1
Leniency and compassion towards offenders ,clemency,3
"Goal, aim ",objective,1
Barrier of stakes and timbers ,stockade,6
Not harsh or violent ,gentle,1
Vase with handles ,urn,7
Deciduous tree ,poplar,6
Slaughterhouse ,abattoir,2
A brief or casual look ,glance,1
Harvests ,crops,3
Period of rule ,reign,5
