CLUE,ANS,POS,FOUND IN
Conspire - small piece of land,plot,1,Hatch plot
One sharing home or business,partner,16,Partnership operational center
Influence (someone's) opinion in advance ,prejudice,10,Prejudice thinking
Jamaica pepper ,allspice,20,"Peppery herbs: Allspice berries are native to Jamaica and have a peppery, clove-like flavor"
Lapse against moral law ,sin,4,Sinful slip
Cried out,yelled,7,Yelled in surprise or shock
Vividly described ,graphic,10,Graphic visualization
"Beethoven or Mozart, say ",composer,3,Master composer
Volcanic matter ,lava,3,Lava flows
Ore ,mineral,5,Mineral wealth
Distinctive air or emanation,aura,7,Ethereal aura
Put on clothes ,dress,1,Dressed
"Eg, gun ",weapon,2,Weaponry
