CLUE,ANS,POS
"Prospect, view",vista,3
Social insect ,ant,1
Farm vehicle ,tractor,1
"Levy, inflict ",impose,1
(Make a) deceptive move,feint,1
Not damaged in any way,intact,1
Insincere support ,lip service,16
Boast ,brag,2
Wartime safety device ,gas mask,1
Sea snail,whelk,3
Forgive ,excuse,2
Church residence ,parsonage,2
Gift; here ,present,1
Large African mammal,hippopotamus,3
George Eliot novel ,daniel deronda,3
Remunerations ,earnings,4
Chic ,elegant,3
Ball game ,tennis,7
Eye problems causing blurred vision ,cataracts,4
Church caretaker ,verger,2
OK,all right,1
"Stage entertainment with sketches, songs and dance ",revue,4
