CLUE,ANS,POS
Towards (river's) source ,upstream,1
Always on the move ,restless,3
Verse line having six metrical feet,hexameter,1
Herring's smaller relative,sprat,4
Bad smell,stench,1
Eaters of a meal ,diners,1
Prove (claim) false ,rebut,5
Snakelike fish ,eel,1
Pertaining to sight ,visual,1
Conceal ,hide,1
Name given to Elizabeth I ,gloriana,1
Lacking strength,weak,1
"Insubstantial, other-worldly",ethereal,1
Jewish republic ,israel,2
Cook in an oven ,bake,1
Hot dusty wind ,sirocco,1
Elicit ,evoke,18
Short-lived fad ,craze,3
Informal goodbye; see you ,so long,13
A mixture of rain and snow ,sleet,7
Big and roomy ,spacious,1
Formal address or discourse ,speech,17
Pig's noise,oink,1
W.E. Johns hero,biggles,4
Fraudulent medical practice ,quackery,1
American poet and mystery writer,edgar allan poe,2
Part of the eye ,retina,6
Deep red gem stone ,garnet,3
Antipodean country ,new zealand,2
Memorandum ,note,3
