CLUE,ANS,POS
Picture dyed into the skin ,tattoo,1
Ravine ,canyon,2
Endeavours ,attempts,2
Conference participant ,attendee,1
Dot-dash signalling ,morse code,1
Small ingenious device ,gadget,1
"Ballroom dance, originally from Germany",waltz,1
Constantly changing ,dynamic,4
"Small, particular part ",detail,3
Boxer who leads with the right hand ,southpaw,3
Country and porcelain ,china,1
Science of soil and crops ,agronomy,1
Unsightly ,ugly,3
Military group ,platoon,2
Winter sport where stones are slid towards a target,curling,1
"Roman Emperor, d. 117",trajan,1
Family relative ,nephew,7
Oneness,unity,1
