CLUE,ANS,POS,FOUND IN
Thou,you,6,"Thou art (archaic phrase meaning ""you are"")"
Laconic ,terse,7,Terse response
Clergyman ,vicar,15,Vicarage
Cherish a desire,hope,8,Eager hope
Step on dry land,disembark,1,Disembarking
Thrill,excite,15,Breathless excitement
Bloodsucking insect ,louse,8,"Louse (specifically, the human body louse known for spreading disease)"
'Lolita' author ,nabokov,1,Vladimir Nabokov
Lift or hold something to assess its weight,heft,5,Evaluate heft
Grasp firmly,seize,17,Seized firmly
Turn hide into leather ,tan,1,Tanning
Green part that forms a flower's calyx,sepal,1,Sepals
