CLUE,ANS,POS
Triangle with two sides of equal length ,isosceles,1
Once more ,again,1
So long,adieu,2
French cathedral city ,chartres,5
Serviette ,napkin,1
Well-known or famous person ,celebrity,3
Yellow fruit ,banana,1
Root vegetable ,parsnip,5
Large sailing ship ,galleon,1
Exclamation of pain - that hurt! ,ouch,7
Of the moon ,lunar,1
French definite article ,les,4
Relating to the kidneys ,renal,2
Smooth little stone ,pebble,1
Older or higher in standing ,senior,1
Very bright red ,scarlet,2
