CLUE,ANS,POS
Hot dusty wind ,sirocco,3
Elicit ,evoke,6
Fruit tree trained to grow against a wall ,espalier,1
Devastate ,ravage,6
Item of footwear ,shoe,1
Magnify,enlarge,1
Informal goodbye; see you ,so long,11
A mixture of rain and snow ,sleet,1
Big and roomy ,spacious,1
Pig's noise,oink,2
Strain ,tension,3
W.E. Johns hero,biggles,1
Bundles of fibres in the body ,nerves,1
Ethical ,moral,1
Fraudulent medical practice ,quackery,1
Part of the eye ,retina,4
Deep red gem stone ,garnet,2
Antipodean country ,new zealand,2
Memorandum ,note,3
