CLUE,ANS,POS
Seat of the high kings of Ireland ,tara,1
Magnetic force ,attraction,1
"Inclination, propensity ",tendency,1
Observed - famous,noted,7
Chief Norse god ,odin,1
Capital of Japan,tokyo,1
"Brought up, propagated ",bred,4
Male sex hormone,testosterone,1
Evacuation ,exodus,5
Yellowish fossil resin ,amber,1
Having reading disorder ,dyslexic,1
Cereal used for making whiskey ,rye,2
In a secret manner ,clandestinely,6
Very appropriate ,apposite,3
Ridge of sand ,dune,1
Unit of electric power,watt,1
