CLUE,ANS,POS
One bringing in goods to country ,importer,1
Conforming to the accepted beliefs of a religion ,orthodox,1
Artist's workplace,studio,1
Hi! - bye! ,ciao,7
Holds dear or regards highly ,values,2
Amount left over ,excess,2
12am ,midnight,1
Native of London's East End ,cockney,7
Diminished,reduced,1
"Fingers, toes and numbers",digits,1
Biblical 'you' ,thou,1
Science of sound ,acoustics,1
Type of water lily ,lotus,1
"Rescue (of) ship, etc",salvage,3
"Leonhard --, C18 Swiss mathematician ",euler,1
Purloin ,steal,1
To do with or like horses ,equine,1
