CLUE,ANS,POS,FOUND IN
Crewed ,manned,2,Manned with a team of individuals
Healing ointment ,balm,3,Therapeutic balm
At the back of a ship,aft,3,Aft end
Dissolute -- gratuitously cruel ,wanton,4,Wanton cruelty
Distinctive clothing for members ,uniforms,3,Identifiable uniforms
The home of sherry ,jerez,1,Jerez de la Frontera
4840 square yards ,acre,1,Acre's worth
Fermenting grape juice ,must,9,Must (unfermented grape juice)
Glance over ,scan,2,Scanning
Use too much of ,overdo,11,Overdone: Done to an excessive degree that surpasses the level of quality or necessity
Set of clothes ,outfit,8,Outfit set
Testament or determination ,will,8,Indomitable will
Cinema attendant ,usher,10,Auditorium usher
Greek teller of animal tales with a moral ,aesop,2,"Aesopian: Referring to the works or characteristics associated with Aesop, an ancient Greek storyteller known for his fable-like tales featuring animals and imparting moral wisdom."
Deuce ,two,1,Twofold increase
Whisper,murmur,4,Murmured conversation
"Declare confidently, promise ",assure,1,Assuredly affirmative
Captain after Moby-Dick ,ahab,1,Ahab's Successor
Song of loyalty ,anthem,3,Obedient anthem
Peter Pan author ,barrie,1,"Barrie, a Scottish playwright, novelist, and poet born in Kirriemuir, Scotland on May 9, 1860"
