CLUE,ANS,POS
Domineering ,bossy,3
Fresh and bright ,vivid,1
Country once known as Abyssinia,ethiopia,1
Fastened; joined ,attached,1
Marine mammal with ivory tusks and a moustache ,walrus,2
Strong ,powerful,3
See-through ,transparent,1
Beer ,ale,1
Pacific country ,tonga,6
Left on the plate ,uneaten,1
Ex-smokers? ,quitters,2
Wandered ,strayed,1
Yellow part of an egg ,yolk,1
Cholesterol-reducing drug ,statin,1
"Quite sufficient, more than enough ",ample,1
Uncertainty ,doubt,1
"Hard, shiny coating as on teeth ",enamel,1
