CLUE: Celestial body  ||| ANS: star ||| POS: 1 
CLUE: Booking (in restaurant)  ||| ANS: reservation ||| POS: 1 
CLUE: Prejudice  ||| ANS: bias ||| POS: 1 
CLUE: Swindle  ||| ANS: hustle ||| POS: 7 
CLUE: Banknote; beak  ||| ANS: bill ||| POS: 4 
CLUE: 1987 Best Actress Oscar winner for 'Moonstruck'  ||| ANS: cher ||| POS: 1 
CLUE: Oriental two-wheeled carriage ||| ANS: rickshaw ||| POS: 2 
CLUE: Taj Mahal city  ||| ANS: agra ||| POS: 1 
CLUE: Statement of money owed ||| ANS: invoice ||| POS: 7 
CLUE: Swimming stroke  ||| ANS: crawl ||| POS: 9 
CLUE: Small narrow river  ||| ANS: stream ||| POS: 1 
CLUE: Bird of prey  ||| ANS: eagle ||| POS: 2 
CLUE: 'Circus tent (3,3)'  ||| ANS: big top ||| POS: 1 
CLUE: One employed to look after a golf course  ||| ANS: greenkeeper ||| POS: 7 
CLUE: String  ||| ANS: twine ||| POS: 10 
CLUE: Explicit or in detail  ||| ANS: specific ||| POS: 4 
CLUE: Smells  ||| ANS: scents ||| POS: 4 
CLUE: Colour  ||| ANS: green ||| POS: 3 
CLUE: Talked indiscreetly  ||| ANS: blabbed ||| POS: 3 
CLUE: Ran away to get married  ||| ANS: eloped ||| POS: 2 
CLUE: Huge legendary beings  ||| ANS: giants ||| POS: 6 
CLUE: Window in roof  ||| ANS: skylight ||| POS: 7 
CLUE: Private teacher  ||| ANS: tutor ||| POS: 1 
CLUE: Perimeter of circle  ||| ANS: circumference ||| POS: 1 
CLUE: Fertiliser  ||| ANS: manure ||| POS: 9 
CLUE: Irish ferry port  ||| ANS: rosslare ||| POS: 5 
CLUE: Grotto  ||| ANS: cave ||| POS: 1 
CLUE: Very skilled or proficient  ||| ANS: adept ||| POS: 11 
