CLUE,ANS,POS
Storyline or piece of land ,plot,1
It's linked to the Mediterranean by the Suez Canal ,red sea,2
Stadium,arena,1
Reproductive cells,ova,3
Smoothly or impartially ,evenly,1
Indicator on score of musical rhythm ,time signature,5
Making an effort ,trying,2
Travelled on foot ,walked,1
Taken without the owner's consent ,stolen,1
"'Sadness, grief (6)' ",sorrow,1
(Room for) gathering of distinguished people ,salon,3
Stuck and immobilized ,jammed,1
Flaming ,blazing,1
"Sir John --, Victorian illustrator (Alice) ",tenniel,1
Latent ability,potential,1
Furtiveness ,stealth,1
Small hand tool used for gripping ,tweezers,13
"Informally, an eccentric or very strange person ",weirdo,1
Band of colours in the rainbow ,spectrum,1
Having put down roots,settled,2
Until we meet again (Italian) ,arrivederci,20
Having no function ,useless,2
Son or daughter ,child,2
Temple of all the gods ,pantheon,1
Secured - buckled ,fastened,1
Fourth part ,quarter,1
New Zealand bird ,kiwi,1
(Make) a rattling noise ,clatter,2
Enlist ,sign up,3
Peg for joining wood ,dowel,1
Church bench ,pew,1
Motor vehicles for heavy goods ,lorries,2
Strong cord ,rope,1
